id,category,difficulty,text,choice_a,choice_b,choice_c,choice_d,correct_choice_id,clue
ACT2-014,KNOWLEDGE_AND_PROBLEM_REPRESENTATION,HARD,A developer expects an AI system’s knowledge to be updated often and reused for different conclusions. Which representation should the developer choose?,"Procedural, because each action is already specified","Procedural, because rules are harder to modify","Declarative, because knowledge can be reused and easily changed","Declarative, because it does not require inference",C,Think about keeping statements of knowledge separate from the steps that use them.
ACT2-015,KNOWLEDGE_AND_PROBLEM_REPRESENTATION,HARD,"When designing an inference engine, why would a developer choose to implement backward chaining instead of forward chaining?",Because it solves open-ended design and planning problems.,Because it is best suited for applications where the possible conclusions are limited and well-defined.,Because it moves strictly from available facts to an open-ended goal.,Because it requires continuous external sensor input to function.,B,Consider starting with a candidate conclusion and checking the evidence needed to support it.
ACT2-016,KNOWLEDGE_AND_PROBLEM_REPRESENTATION,HARD,You are building an automated customer service chatbot using a Frame architecture. You need the system to immediately alert a supervisor whenever a customer mentions an urgent safety issue. Which integration best solves the requirement?,Place an “if-added” attached procedure inside a frame slot that triggers an external alert when a safety keyword is detected.,Convert the frame into a semantic network every time a safety keyword is detected.,Use backward-chaining to delete the customer’s working storage database.,Store the safety rules in a decision-tree leaf node so the system does not need a user interface.,A,Look for a mechanism that reacts immediately when information is added to a slot.
ACT2-017,KNOWLEDGE_AND_PROBLEM_REPRESENTATION,HARD,A company wants one expert system to apply the same expertise to many different customer cases while reasoning separately about each case. Which arrangement best supports this design?,Use the database for reusable expertise and the knowledge base for temporary case facts,Use the knowledge base for reusable expertise and the database for the current case,Use the inference engine to store expertise and the database to store conclusions,Use the knowledge base to store conclusions and the inference engine to store case facts,B,Separate reusable expertise from the changing facts of an individual customer case.
ACT2-018,KNOWLEDGE_AND_PROBLEM_REPRESENTATION,HARD,Choose the option that best synthesizes the primary goal of Conceptual Dependency theory.,It restricts natural language understanding to strict true or false logic.,It extracts knowledge directly from domain experts using structured interviews.,"It creates a single, language-independent representation of meaning for sentences that mean the same thing.",It records stereotyped sequences of events like a bank robbery into a database.,C,Ask how different sentences or languages could express the same underlying idea.
ACT3-001,SEARCH_AND_GAME_PLAYING,EASY,What is the average number of child nodes in a problem-space graph called?,Problem depth,Admissibility,Branching factor,Space Complexity,C,Think about how many branches typically extend from one node.
ACT3-002,SEARCH_AND_GAME_PLAYING,EASY,"What does the term ""Branching Factor"" specifically define in a problem space graph?",The maximum number of nodes stored in the computer's memory.,The length of the shortest path from the initial state to the goal state.,The average number of child nodes for a given node.,The total amount of time taken to generate new nodes.,C,"Consider what varies at each node, not a fixed limit or total count."
ACT3-003,SEARCH_AND_GAME_PLAYING,EASY,What is the space complexity of a breadth-first search?,O(b^d) where d is depth and b is branching factor,O(bn) where n is total nodes,O(b),O(n^2),A,Recall that breadth-first search stores every node at each level in memory.
ACT3-004,SEARCH_AND_GAME_PLAYING,EASY,What is the fundamental purpose of adding a heuristic function to a search process?,To guarantee that the algorithm sequentially searches every single node in the problem space.,To evaluate states and estimate which node is most likely closest to the goal state.,"To convert an informed algorithm into a blind, brute-force search.",To randomly generate new domains and physical constraints.,B,"Focus on how promising a state looks, rather than blind exploration."
ACT3-005,SEARCH_AND_GAME_PLAYING,EASY,Why can forward search become less directed than backward search?,The goal must always be unknown,It always searches the deepest branch first,It cannot use IF-THEN rules,Many rules may apply without specifically leading toward the goal,D,Consider how many stored rules could fire without aiming at the goal.
ACT3-006,SEARCH_AND_GAME_PLAYING,EASY,Which of the following best explains how a beam search operates to control memory usage during a search process?,"It explores the deepest path first, storing only the path from the root to the current node before backtracking.","It expands all successor nodes at each level, but retains only a fixed number of the most promising states based on a heuristic evaluation.",It computes the exact cost function g(n) plus heuristic cost h(n) for every node across the entire search space without discarding any nodes.,It evaluates immediate local neighbors and irrevocably moves to the best neighbour without keeping track of alternative paths or previous state.,B,Think about a heuristic filter that discards all but the top candidates.
ACT3-007,SEARCH_AND_GAME_PLAYING,MEDIUM,A problem solver knows extra information about which states are more promising and wants to use that knowledge to guide where it searches next. Which approach should it use?,Exhaustive search,Heuristic search,Binary search,Layered search,B,Look for the approach that uses extra domain knowledge to prioritize states.
ACT3-008,SEARCH_AND_GAME_PLAYING,MEDIUM,"A group of students is developing a search program to explore a search tree layer by layer, checking all nodes at the current level before expanding deeper to find the shallowest solution. Which search technique are the students applying?",Depth-First Search,Linear Search,Breadth-First Search,Binary Search,C,Think about exploring every node one level before moving deeper.
ACT3-009,SEARCH_AND_GAME_PLAYING,MEDIUM,"Consider a decision-tree being searched using the upper-left-right binary tree search algorithm. For any subtree root node P with child nodes L (left) and R (right), in what operational order does ulr(P) evaluate these nodes?","Evaluate L, then R, then tests P.","Evaluate L, then tests P, then evaluates R.","Tests P first; if not a solution, recursively searches L, then recursively searches R.","Evaluates R first, then recursively searches L, then tests P.",C,"Trace the order: test the root first, then explore left, then right."
ACT3-010,SEARCH_AND_GAME_PLAYING,MEDIUM,How does Alpha-Beta pruning fundamentally improve the standard Minimax algorithm?,It changes the game into a single-player puzzle.,It completely eliminates the combinatorial explosion of states.,It cuts the number of game states the system has to examine in half.,It replaces the static evaluation function with random guessing.,C,Think about the states an unpromising branch causes the algorithm to skip.
ACT3-011,SEARCH_AND_GAME_PLAYING,MEDIUM,Which of the following best analyzes the core underlying cause of the “horizon effect” in computer game playing programs?,"The static evaluation function is too low, causing memory buffer overflows before reaching terminal nodes.","The program assumes the opponent will make suboptimal moves, leading to incorrect heuristic moves.",Fixed search depth limits prevent the program from detecting critical state changes that occur just beyond the maximum evaluated ply.,Alpha-Beta pruning incorrectly eliminates optimal branches due to unsorted move generators.,C,Consider what happens just past the point where the search stops looking.
ACT3-012,SEARCH_AND_GAME_PLAYING,MEDIUM,"A problem is divided into two types of nodes: one requires all child problems to succeed, while another requires at least one child problem to succeed. What does this reveal?",Both nodes are OR-nodes,The first is an AND-node and the second an OR-node,The first is an OR-node and the second an AND-node,Both nodes are terminal nodes,B,Match ‘succeeds only if all children succeed’ with the right node type.
ACT3-013,SEARCH_AND_GAME_PLAYING,HARD,"A chess program already uses minimax correctly, but it examines too many states. Which improvement is most appropriate?",Add alpha-beta pruning,Remove the minimizer,Replace evaluation with random choices,Expand every branch further,A,Recall the standard technique for cutting down state examination in minimax.
ACT3-014,SEARCH_AND_GAME_PLAYING,HARD,Evaluate the primary drawback of using standard minimax in real-world game environments with human opponents.,Minimax assumes the opponent plays optimally to maximize their gain.,Minimax cannot evaluate terminal states unless the complete game tree is fully expanded to the leaf nodes.,Minimax requires a heuristic evaluation function that remains completely static throughout all depth levels.,Minimax fails to operate in two-player zero-sum games where one player is a maximizer and the other is the minimizer.,A,Think about what minimax assumes regarding how the opponent behaves.
ACT3-015,SEARCH_AND_GAME_PLAYING,HARD,"When designing a proof-search algorithm, why would a developer purposefully choose backward search instead of forward search?","Because the system's axioms have only one input and multiple outputs, making the branching factor smaller in reverse.",Because backward search completely ignores the branching factor of the problem space graph.,Because the initial state of the environment is entirely unknown.,Because forward search requires a strict alpha-beta cut-off to work.,A,Consider which direction leaves fewer possible paths to follow.
ACT3-016,SEARCH_AND_GAME_PLAYING,HARD,Suppose you want to formulate an improved search algorithm that maximizes the number of cut-offs achieved by Alpha-Beta pruning. Which design strategy for node expansion should you construct?,Generate and evaluate child nodes in random order so that alpha and beta windows adjust dynamically.,Order move generation so that the plausible move generator expands the most promising (“best”) moves first at each level.,"Expand leaf nodes in reverse order of their static evaluation scores, starting with the worst potential minimizer moves.",Disable Alpha-Beta window adjustments until all leaf nodes at depth n have been fully evaluated by the static function.,B,Think about examining the strongest candidate moves before the weaker ones.
ACT3-017,SEARCH_AND_GAME_PLAYING,HARD,You are writing the exact cutoff logic for an Alpha-Beta pruning algorithm. Which condition correctly tells the system to stop exploring a specific branch?,The algorithm stops when the upper bound (beta) becomes less than or equal to the lower bound (alpha).,The algorithm stops when the maximizing player achieves a positive heuristic score.,The algorithm stops when the static evaluation function reaches exactly zero.,The algorithm stops when the plausible move generator runs out of memory.,A,Recall the comparison between the best guaranteed values for each player.
ACT3-018,SEARCH_AND_GAME_PLAYING,HARD,"A programmer wants to keep the basic idea of moving down a search path, but instead of always taking the first available child, the program should choose the child that appears most promising. Which search design does this create?",Breadth-first search,Best-first search,Ordinary depth-first search,Binary search,B,Think about picking the most promising child instead of the first one.
